instance,best_cost,avarage_gap,avarage_gap_initial_solution,avarage_time,drone_eligible_customers,customers_served_by_drones,trucks_used,repetitions,iter_imp,iter_max
50-c-1-c,84.0038564598803,0.2547322270361623,17.46848198630126,60.745801019668576,42,16,2,10,100,1000
50-c-1-e,133.57183626028205,4.1686013335891765,31.674933539173107,169.40211782455444,41,6,3,10,100,1000
50-c-1-r,152.16455953421791,0.3095033080906253,20.927760866092576,82.25834124088287,41,11,3,10,100,1000
50-r-1-c,179.88920823397697,1.6260170088042358,16.908023375911014,39.75837070941925,41,14,4,10,100,1000
50-r-1-e,216.97156250107133,5.50310333580071,35.662736215725516,75.53133668899537,24,10,3,10,100,1000
50-r-1-r,235.62119919527368,2.3670526149938507,16.758985578538592,55.31622903347015,33,15,4,10,100,1000
50-rc-1-c,124.9810235433423,7.870603542744663,25.93970973283788,44.73850593566895,42,16,3,10,100,1000
50-rc-1-e,201.61510344790128,0.4495916570084882,18.678367513630928,58.86640384197235,27,11,3,10,100,1000
50-rc-1-r,173.16011474083905,0.45086708208792525,14.852501373694752,89.17647995948792,37,14,3,10,100,1000
