method,variant,instance,cost_original,cost_variant,cost_difference_percentage,time_original,time_variant,iter_imp,iter_max
SISSRs,SISSRs_no_LS,30-c-1-c,39.982363529774396,95.95757459634326,139.99975520427847,159.97402262687683,91.62588548660278,500,5000
SISSRs,SISSRs_no_TA,30-c-1-c,39.982363529774396,80.96779807955757,102.5087837022486,159.97402262687683,140.3628635406494,500,5000
SISSRs,SISSRs_no_pert,30-c-1-c,39.982363529774396,40.32072930691522,0.8462875809951689,159.97402262687683,153.8128945827484,500,5000
SISSRs,SISSRs_no_rand,30-c-1-c,39.982363529774396,40.36295002415922,0.9518859336602344,159.97402262687683,156.42913818359375,500,5000
SISSRs,SISSRs_no_sweep,30-c-1-c,39.982363529774396,40.45890647282502,1.1918828727965232,159.97402262687683,142.37553691864014,500,5000
SISSRs,SISSRs_no_LS,30-c-1-e,172.4927353096893,183.9213388464443,6.625556442267774,406.8818256855011,50.698930740356445,500,5000
SISSRs,SISSRs_no_TA,30-c-1-e,172.4927353096893,172.83414552928,0.19792730341816395,406.8818256855011,57.69626045227051,500,5000
SISSRs,SISSRs_no_pert,30-c-1-e,172.4927353096893,172.4927353096893,0.0,406.8818256855011,743.769403219223,500,5000
SISSRs,SISSRs_no_rand,30-c-1-e,172.4927353096893,172.4927353096893,0.0,406.8818256855011,880.1711966991425,500,5000
SISSRs,SISSRs_no_sweep,30-c-1-e,172.4927353096893,172.4927353096893,0.0,406.8818256855011,468.78279757499695,500,5000
SISSRs,SISSRs_no_LS,30-c-1-r,61.28271791291355,123.16002133417784,100.97023358069022,105.78177165985107,43.89715766906738,500,5000
SISSRs,SISSRs_no_TA,30-c-1-r,61.28271791291355,103.36454912684135,68.66834998037886,105.78177165985107,40.93877959251404,500,5000
SISSRs,SISSRs_no_pert,30-c-1-r,61.28271791291355,61.28271791291355,0.0,105.78177165985107,70.98576712608337,500,5000
SISSRs,SISSRs_no_rand,30-c-1-r,61.28271791291355,61.28271791291355,0.0,105.78177165985107,80.50364327430725,500,5000
SISSRs,SISSRs_no_sweep,30-c-1-r,61.28271791291355,61.28271791291355,0.0,105.78177165985107,95.55968570709229,500,5000
SISSRs,SISSRs_no_LS,30-r-1-c,81.64730488530844,137.08105059453416,67.8941525223577,73.65569806098938,53.02558922767639,500,5000
SISSRs,SISSRs_no_TA,30-r-1-c,81.64730488530844,86.536324595312,5.987974394098193,73.65569806098938,69.8678548336029,500,5000
SISSRs,SISSRs_no_pert,30-r-1-c,81.64730488530844,79.42273063495418,-2.7246144296853014,73.65569806098938,91.06558847427368,500,5000
SISSRs,SISSRs_no_rand,30-r-1-c,81.64730488530844,79.42273063495419,-2.724614429685284,73.65569806098938,77.93496346473694,500,5000
SISSRs,SISSRs_no_sweep,30-r-1-c,81.64730488530844,77.9514294589807,-4.5266349348817005,73.65569806098938,63.855037212371826,500,5000
SISSRs,SISSRs_no_LS,30-r-1-e,243.1106110594353,263.3698522688875,8.333343049555012,561.9243524074554,27.363979816436768,500,5000
SISSRs,SISSRs_no_TA,30-r-1-e,243.1106110594353,253.5185275774403,4.281144485075754,561.9243524074554,24.076992750167847,500,5000
SISSRs,SISSRs_no_pert,30-r-1-e,243.1106110594353,243.1106110594353,0.0,561.9243524074554,473.4320707321167,500,5000
SISSRs,SISSRs_no_rand,30-r-1-e,243.1106110594353,243.1106110594353,0.0,561.9243524074554,456.6958796977997,500,5000
SISSRs,SISSRs_no_sweep,30-r-1-e,243.1106110594353,243.1106110594353,0.0,561.9243524074554,482.0879771709442,500,5000
SISSRs,SISSRs_no_LS,30-r-1-r,164.75231720419228,196.75439355172176,19.424355839478995,247.71629810333252,30.71165132522583,500,5000
SISSRs,SISSRs_no_TA,30-r-1-r,164.75231720419228,164.7523172041923,1.7251174315914744e-14,247.71629810333252,40.63793230056763,500,5000
SISSRs,SISSRs_no_pert,30-r-1-r,164.75231720419228,164.75231720419225,-1.7251174315914744e-14,247.71629810333252,318.96235942840576,500,5000
SISSRs,SISSRs_no_rand,30-r-1-r,164.75231720419228,164.75231720419225,-1.7251174315914744e-14,247.71629810333252,840.1069233417511,500,5000
SISSRs,SISSRs_no_sweep,30-r-1-r,164.75231720419228,164.75231720419228,0.0,247.71629810333252,671.1658108234406,500,5000
SISSRs,SISSRs_no_LS,30-rc-1-c,73.39928708393316,117.15774146558044,59.61700190849108,274.9904680252075,162.22278571128845,500,5000
SISSRs,SISSRs_no_TA,30-rc-1-c,73.39928708393316,73.39928708393317,1.93610255355092e-14,274.9904680252075,236.14159965515137,500,5000
SISSRs,SISSRs_no_pert,30-rc-1-c,73.39928708393316,65.14544408870928,-11.245126925804453,274.9904680252075,239.81552362442017,500,5000
SISSRs,SISSRs_no_rand,30-rc-1-c,73.39928708393316,73.39928708393317,1.93610255355092e-14,274.9904680252075,267.8532509803772,500,5000
SISSRs,SISSRs_no_sweep,30-rc-1-c,73.39928708393316,73.39928708393317,1.93610255355092e-14,274.9904680252075,239.29857563972473,500,5000
SISSRs,SISSRs_no_LS,30-rc-1-e,176.57207847829113,185.07697950883707,4.816673793411557,358.29544496536255,28.29070496559143,500,5000
SISSRs,SISSRs_no_TA,30-rc-1-e,176.57207847829113,182.23104375699916,3.2049038146219546,358.29544496536255,27.73019313812256,500,5000
SISSRs,SISSRs_no_pert,30-rc-1-e,176.57207847829113,176.57207847829113,0.0,358.29544496536255,315.6839678287506,500,5000
SISSRs,SISSRs_no_rand,30-rc-1-e,176.57207847829113,177.02404375699913,0.25596644871775087,358.29544496536255,136.61496496200562,500,5000
SISSRs,SISSRs_no_sweep,30-rc-1-e,176.57207847829113,176.57207847829113,0.0,358.29544496536255,266.28821754455566,500,5000
SISSRs,SISSRs_no_LS,30-rc-1-r,99.06808606797527,154.26104081520438,55.712143978797194,67.60327553749084,41.05715584754944,500,5000
SISSRs,SISSRs_no_TA,30-rc-1-r,99.06808606797527,98.56261893279805,-0.5102219647509919,67.60327553749084,67.80854058265686,500,5000
SISSRs,SISSRs_no_pert,30-rc-1-r,99.06808606797527,97.91483836640164,-1.1640960750794518,67.60327553749084,71.1783938407898,500,5000
SISSRs,SISSRs_no_rand,30-rc-1-r,99.06808606797527,98.46781092984617,-0.6059218078738589,67.60327553749084,71.40732884407043,500,5000
SISSRs,SISSRs_no_sweep,30-rc-1-r,99.06808606797527,106.79986208021941,7.804507303127877,67.60327553749084,61.50442147254944,500,5000
