instance,cost_solver,cost_heuristic,cost_difference_percentage,time_solver,time_heuristic,iter_imp,iter_max
10-c-1-c,9.232685816763809,9.232685816763809,0.0,0.0820000171661377,5.059657335281372,100,1000
10-c-1-e,93.28222601294681,103.55440265124135,11.011933438283137,0.372999906539917,16.02118444442749,100,1000
10-c-1-r,48.594181134120916,48.59418113412092,1.4621971585424766e-14,0.21700000762939453,5.06117582321167,100,1000
10-r-1-c,27.808142764773642,27.808142764773642,0.0,0.11999988555908203,7.8575193881988525,100,1000
10-r-1-e,91.81526165280614,118.27906735112421,28.822883278805378,0.4089999198913574,20.97707223892212,100,1000
10-r-1-r,89.54838973456873,102.69838973456872,14.68479783832857,0.2239999771118164,18.00266122817993,100,1000
10-rc-1-c,3.815423972587624,3.815423972587623,-2.3278629742889673e-14,0.020999908447265625,13.971115589141846,100,1000
10-rc-1-e,96.91871943449695,160.15,65.2415559496102,0.09000015258789062,15.606109857559204,100,1000
10-rc-1-r,56.30502941105741,56.6626946518005,0.6352278730412113,0.45600008964538574,5.739622354507446,100,1000
20-c-1-c,13.116409821898186,13.116409821898186,0.0,0.1660001277923584,24.45265483856201,100,1000
20-c-1-e,98.98021588097376,170.98609082816805,72.74774489659953,3600.0309998989105,92.81969976425171,100,1000
20-c-1-r,52.111198447361474,52.11119844736147,-1.3635125595467413e-14,5.192000150680542,10.999553918838501,100,1000
20-r-1-c,34.41658587552386,34.41658587552386,0.0,0.35699987411499023,20.439599752426147,100,1000
20-r-1-e,119.18861006900252,226.22048813249557,89.8004247230742,0.21500015258789062,71.76554703712463,100,1000
20-r-1-r,87.523015758329,105.56933471150997,20.618940968637293,1.5159997940063477,5.945873498916626,100,1000
20-rc-1-c,33.47748072785902,33.47748072785902,0.0,0.18199992179870605,12.159176349639893,100,1000
20-rc-1-e,107.90188736663505,173.14904375699913,60.468966746303195,1.184999942779541,37.70947313308716,100,1000
20-rc-1-r,70.8640123045749,87.57303779962069,23.579000047626543,28.551000118255615,6.692002773284912,100,1000
30-c-1-c,38.167023837868165,44.53795002415922,16.692226811696067,2801.7060000896454,26.47446084022522,100,1000
30-c-1-e,99.19361760893206,172.4927353096893,73.89499391960567,3600.039999961853,165.79607248306274,100,1000
30-c-1-r,61.28271791291354,85.168504538233,38.976382639005344,2764.7389998435974,22.066895723342896,100,1000
30-r-1-c,38.24461299428443,80.52607908393222,110.55535088292474,2.576000213623047,13.915040493011475,100,1000
30-r-1-e,122.25078062747696,243.1106110594354,98.86221569434635,5.138999938964844,85.4794294834137,100,1000
30-r-1-r,105.46298127916725,165.08465529800708,56.53327195541481,14.513999938964844,49.23377466201782,100,1000
30-rc-1-c,44.736578893574105,73.39928708393319,64.06995997290295,12.46399998664856,16.498337268829346,100,1000
30-rc-1-e,119.08381780060407,176.57207847829113,48.275459873100786,3600.697999954224,223.46763062477112,100,1000
30-rc-1-r,74.26222234546562,98.59948053236184,32.77205747180582,2277.5329999923706,15.128437280654907,100,1000
50-c-1-c,81.10294571938678,85.02694168710698,4.8382903147526655,3600.0510001182556,58.2480583190918,100,1000
50-c-1-e,114.18765029117206,143.42175931802464,25.601813289184292,3600.03200006485,52.69289422035217,100,1000
50-c-1-r,92.36913724134025,153.54669665969038,66.23160207560088,3600.0460000038147,55.17619299888611,100,1000
50-r-1-c,133.7251310773594,180.77119517989277,35.18116880761733,13959.02799987793,13688.692059755325,100,1000
50-r-1-e,156.83715240713818,249.6519582254658,59.17909397984155,3600.064999818802,53.16822838783264,100,1000
50-r-1-r,141.33989302855878,243.88495582529774,72.55210160376942,913.8529999256134,40.90545082092285,100,1000
50-rc-1-c,97.97436794316229,137.68101393966248,40.52758576563121,3600.037999868393,37.38956379890442,100,1000
50-rc-1-e,125.86488526754708,201.6151034479013,60.18375817793369,2057.858999967575,57.94281363487244,100,1000
50-rc-1-r,118.11505216819454,173.16011474083908,46.60291940967945,3600.059000015259,72.08356189727783,100,1000
