instance,cost_heuristic,time_heuristic,iter_imp,iter_max
10-c-1-c,9.232685816763809,49.32834815979004,1000,10000
10-c-1-e,103.55440265124135,97.56741952896118,1000,10000
10-c-1-r,48.59418113412092,47.30130481719971,1000,10000
10-r-1-c,27.80814276477364,45.626895904541016,1000,10000
10-r-1-e,118.27906735112421,120.66066575050354,1000,10000
10-r-1-r,102.69838973456872,29.10582947731018,1000,10000
10-rc-1-c,3.8154239725876233,74.58126401901245,1000,10000
10-rc-1-e,160.15,100.35007381439209,1000,10000
10-rc-1-r,56.6626946518005,35.983914852142334,1000,10000
20-c-1-c,56.14149211941668,133.86377811431885,1000,10000
20-c-1-e,170.98609082816805,605.2583110332489,1000,10000
20-c-1-r,52.111198447361474,85.35359787940979,1000,10000
20-r-1-c,34.41658587552386,125.71492743492126,1000,10000
20-r-1-e,226.22048813249557,513.1116247177124,1000,10000
20-r-1-r,105.56933471150997,173.7202229499817,1000,10000
20-rc-1-c,33.47748072785902,154.84927415847778,1000,10000
20-rc-1-e,173.14904375699913,701.093603849411,1000,10000
20-rc-1-r,87.57303779962068,74.86577367782593,1000,10000
30-c-1-c,40.32072930691522,237.61632537841797,1000,10000
30-c-1-e,172.49273530968927,1452.8368663787842,1000,10000
30-c-1-r,61.55254678061049,158.91951775550842,1000,10000
30-r-1-c,76.64580459231614,228.55812764167786,1000,10000
30-r-1-e,243.1106110594353,1070.385592699051,1000,10000
30-r-1-r,164.75231720419225,560.3821573257446,1000,10000
30-rc-1-c,73.39928708393317,247.6440303325653,1000,10000
30-rc-1-e,176.57207847829113,10441.37226676941,1000,10000
30-rc-1-r,98.29401339718461,192.1401777267456,1000,10000
50-c-1-c,84.0038564598803,666.8026521205902,1000,10000
50-c-1-e,133.57183626028205,3526.5348477363586,1000,10000
50-c-1-r,152.23693944584872,762.3142671585083,1000,10000
50-r-1-c,178.70163341364685,374.52841234207153,1000,10000
50-r-1-e,216.97156250107133,356.96168756484985,1000,10000
50-r-1-r,235.70609527144433,385.6613576412201,1000,10000
50-rc-1-c,113.93734639994547,428.0427579879761,1000,10000
50-rc-1-e,201.61510344790128,756.3352544307709,1000,10000
50-rc-1-r,173.57438462771685,585.115965127945,1000,10000
