,num_custumers,grid_size,num_drones,battery_endurance,cost_ratio,cost_savings
0,87,40,18,0.2552592007913116,34.83097697396355,0.4286882153711917
1,71,39,17,0.7394501933127051,23.12313276222455,4.63808892276156
2,59,23,14,0.7643991122722991,44.17639184551835,0.8933790956279845
3,14,31,13,0.34976331982060416,39.01717780581707,3.9082917557614634
4,56,34,11,0.6131950672629938,21.40175400393791,3.9012079207493326
5,65,40,17,0.3197351151767372,12.70812035197594,0.5302678433194011
6,44,28,6,0.4514043164403751,13.500700918072397,-1.442318223509212
7,79,30,12,0.8936430461835906,19.558746773448064,7.095692040642098
8,25,25,9,0.49163080270175796,39.449091547522016,2.3359800280697804
9,46,38,16,0.282454613761413,24.008664442657345,-2.679757355259399
10,72,27,9,0.5636604361491613,25.334404739498332,0.8100740968249847
11,14,29,19,0.27320011235761166,24.805657570384998,0.0
12,18,34,6,0.7506373141749372,39.75542756757525,0.8222538278963774
13,26,20,3,0.5006759048769086,39.921728011269124,5.579001454077318
14,89,31,5,0.4587156453350746,17.886008153050174,4.447891762219109
15,81,23,15,0.4269921046092169,29.31231303361177,6.640363345926408
16,83,34,8,0.7110358009681417,47.30295893191774,3.1499650350921615
17,29,24,14,0.7132071957601811,25.906769031730434,10.582704001695642
18,92,36,3,0.2951372278197151,38.183449835855384,0.8796161674905367
19,77,20,19,0.7809208861422298,49.60430814722846,-1.661125397072047
20,75,22,1,0.6027722524858558,35.19910001066734,0.11485676876719784
21,83,22,8,0.7532003966530494,13.808669145006505,1.1806641876224284
22,86,20,2,0.8523743612254129,27.004314731101932,6.542780747785649
23,74,23,2,0.7727282165100253,39.785411859597694,4.806065748568122
24,41,33,14,0.40514018077784353,42.601536197763814,4.709998432303337
25,58,24,8,0.2548011315097577,14.702972437016255,0.09036833676504233
26,71,26,13,0.7044971435378672,36.54378119216565,3.860714659868366
27,70,26,15,0.9096632993278051,40.07070057019097,11.18199849388918
28,74,22,10,0.8437102387270362,22.30554763724016,-0.779272740881169
29,80,34,16,0.7706101052827332,48.28392973640555,7.433899929617286
30,34,33,3,0.758286371424261,44.591057167513505,0.6902092358320578
31,62,35,2,0.6116694406369085,39.03215875556681,5.2689610367545825
32,69,36,8,0.2657858243938432,24.794949030126837,-4.416120405543949
33,80,40,7,0.708253477033304,39.61850378741403,2.410840485003502
34,74,24,1,0.4478619418778059,27.468184635910813,1.309466941601533
35,83,38,15,0.7933242128349544,17.24997723549457,8.064379316130502
36,21,24,6,0.9797169489113504,30.422142775716026,2.0668425290523227
37,22,34,7,0.6565563303821944,27.807606880069244,2.190246513036176
38,68,30,8,0.5254550547276629,44.891361324457655,3.9671207986595323
39,83,31,4,0.6136107276122171,14.423456574061193,-0.4684177476140669
40,99,40,17,0.41268245997736686,17.356491520363335,-2.872125469065716
41,74,26,18,0.839384800087617,37.70002002761831,3.582615236756292
42,79,24,9,0.25228457824742645,32.148325519544535,1.8765017036654248
43,13,31,20,0.3572612250897915,22.573620443755168,0.0
44,18,32,13,0.507094912799922,36.47095072711219,0.7587572505285718
45,71,27,7,0.5645166887220598,44.90940764726478,-4.119064732960839
46,85,38,20,0.2590608197457074,27.59568654117761,6.989398480468928
47,31,28,15,0.5770933601336733,45.728736039026586,0.4166664834293916
48,47,27,11,0.5141060672293911,47.491053259766666,3.8112711580390903
49,77,31,12,0.9989195971624827,35.4569350187721,16.55992644391821
50,57,22,6,0.6096546023693112,40.49625421688453,4.178282212410766
51,72,29,17,0.7195916140798932,15.576933360028056,2.7169645520214556
52,25,22,12,0.3010473276487333,14.405995120000963,3.8048388715992534
53,59,31,11,0.8433601604011242,20.501769228197823,11.77608042531921
54,21,23,13,0.6314133193983815,30.308542822819213,7.161639332047581
55,17,32,11,0.8086370637268426,43.27610766684352,1.0725439142889261
56,63,24,19,0.771612068245027,16.6934267492155,12.688918919974281
57,60,40,17,0.7811646798296534,34.339053968033205,10.791783095668738
58,20,32,7,0.5304935232102077,39.89294285215591,5.3474508408221295
59,72,23,2,0.8722121397008006,16.371177878709698,3.7995176717702277
60,13,27,13,0.6395039110300637,42.236414378603435,2.594051092306566
61,73,40,13,0.9720803374811022,35.23903981459738,10.831193661541958
62,90,40,10,0.5792114576119225,36.93513142606985,3.278920045662597
63,25,39,9,0.7151638800573986,10.083603338786977,0.25015622594897347
64,79,22,3,0.7592812562503086,41.76779674739417,0.7785260410431354
65,57,34,15,0.5400521992835084,26.038480659526336,-0.921284321737077
66,91,31,2,0.29341167612767843,43.08018829180142,1.3623105114067204
67,83,28,9,0.9119282912028204,25.013913485309406,1.3213735336812649
68,29,26,11,0.3995492028032894,46.849416957041264,4.9555318662607455
69,17,33,6,0.28238949577106465,13.513502008403044,0.0
70,98,38,14,0.9909808947670832,15.141587055299697,5.408026642835523
71,88,21,6,0.6377161656903378,27.284811360060264,-0.05905756585942415
72,24,37,1,0.9131349084760743,46.60581698183399,13.589766994051509
