,num_custumers,grid_size,num_drones,battery_endurance,cost_ratio,cost_savings
46,65,21,10,0.5186863294883274,36.15428742334718,9.6136142853023
47,69,23,18,0.9779648110871241,25.888110427868135,24.65981093888596
48,100,24,6,0.7648985338387072,28.03979324853143,20.009860280041387
49,24,39,7,0.9318284977766786,47.31753812647115,24.431046875234316
50,63,24,5,0.2593392641272957,26.952517688124967,7.480652357283255
51,41,22,19,0.4936588154717236,44.89134539540446,22.851977128797785
52,73,33,12,0.7710301294775079,23.51273213193169,20.55282144274748
53,74,39,12,0.8423283150555259,15.570247232010356,8.979232550139576
54,21,39,1,0.5139966496446349,33.09158785829666,6.8069731503639215
55,10,40,4,0.8939845232836814,40.36008500282941,4.899186845017932
56,78,38,1,0.8276019305397202,20.349083901688445,4.538053849024785
57,19,36,9,0.4511396222784818,22.669442820812698,5.715907758508065
58,32,21,18,0.6355903051639901,41.33549133121754,26.955538822044932
59,53,28,12,0.6092390938794942,20.18488564411627,2.739480442570524
60,31,22,6,0.49968320858022275,18.33092500655035,17.589738492594808
61,17,33,20,0.5201754397759083,49.77093005971084,5.581542169550944
62,10,30,2,0.9303906299145305,39.98658572580483,18.482051138405843
63,61,29,5,0.6632589930063373,48.50145881938383,14.304121448097384
64,11,23,14,0.67246849279234,39.21868565346041,14.235643577899458
65,45,26,9,0.47939836207242337,25.873179432217704,4.643111095167419
66,65,38,20,0.4329845290035934,14.156035847852912,0.8705931495478065
67,81,28,18,0.808311700524327,11.377169276828853,13.793983581255075
68,38,38,4,0.8568811297760406,11.139334814955046,12.431973954973287
69,96,31,14,0.6506830047401371,36.71497834213962,15.23950613488196
70,96,23,7,0.6036178832940831,26.3590320795971,11.7664414102617
71,39,35,2,0.5508580781084522,32.45181213926523,8.421992887139039
72,36,26,15,0.6334345289660785,11.374609271794194,14.383903060748874
73,86,28,9,0.5119996175562174,47.03670169771978,15.191503701072998
74,89,36,7,0.5150578618806971,35.238287299180946,10.967038598974625
75,54,21,4,0.6907146661491402,22.848067598267143,4.205982207611778
76,26,40,5,0.6962890666297161,39.412220112477314,15.1399023937054
77,54,38,10,0.7119094147858195,46.27020099457648,8.327316637759749
78,95,22,14,0.6170289505520348,22.59718552871034,14.919964644806907
79,13,37,18,0.8285121305795213,39.019013115655696,1.2141740556652334
80,26,27,12,0.42904673732899445,34.185011967025474,7.849935696335761
81,87,20,10,0.887713780556224,20.490024299644407,20.190060117399636
82,61,39,8,0.5699075602423627,33.041767572641525,0.7607887663458397
83,88,29,5,0.4115416778539507,15.391496234972584,4.109828862126087
84,93,40,20,0.6422303566180024,36.46078673712454,7.522381204757612
85,16,28,20,0.29181894624760474,18.97051082818149,7.400591208599369
86,20,27,14,0.46470218218786385,46.17383066063522,14.92872051995512
87,58,22,4,0.4064552587497403,30.840465973941726,-3.4926493497076283
88,89,31,7,0.9983195300739303,13.524540933151785,14.690077729770646
89,71,24,9,0.6085198995144367,20.422785562192217,8.27715676317831
90,92,31,5,0.31041543897143176,24.627678244643768,2.9113789855453676
91,69,26,4,0.49081583132886347,13.303319929124275,9.562197602008576
92,74,22,5,0.8396514135371124,37.68923552419422,23.71148776217829
93,37,25,16,0.4059794024371419,34.981883336205286,14.865227181205535
94,93,23,18,0.907150958179751,28.685082188382722,16.723335712024184
95,73,26,9,0.33158813898308814,42.93578183137214,14.260168478570645
96,22,38,3,0.6664243791211654,37.748316607580676,3.8827792493116493
97,37,34,11,0.8576085364013082,43.81850439135843,9.20630613086931
98,66,31,9,0.8553323952445548,33.475179546552866,19.17752273379784
99,84,31,19,0.9234374602366773,44.07519202658338,36.615190153213966
100,68,29,16,0.9189529916984981,44.4667990829121,20.151259899023096
101,62,38,16,0.7105405365849049,36.925675175559576,1.7088679911433247
102,23,36,20,0.9287651333056034,11.565584837616111,24.455740028837084
103,10,25,3,0.8047408534478605,15.3988970499902,29.412041260586985
104,16,21,18,0.8068084949167519,15.427112064518145,9.963849431513013
105,46,25,18,0.8354092132194944,31.09577540461812,19.428658974862255
106,38,20,8,0.541696871769224,43.76431993562581,12.853498330112163
107,19,24,6,0.4872256750084988,11.433674214197467,1.1158804481861886
108,98,32,13,0.7262574162321315,23.162957365773135,4.734092650785422
109,18,26,16,0.470568311638109,19.87957546578596,4.123709610154172
110,19,35,5,0.40284496191651153,43.90214647838535,2.5895856425845976
111,11,38,18,0.4112097559404161,41.065717873011394,11.861453611497872
112,29,29,5,0.7021028549730577,15.383685218293444,4.495977131395829
113,62,35,9,0.5897794320965826,38.583482932160834,-1.1251292101742691
114,57,25,14,0.5437133151092497,18.34062498383156,9.384095443093901
115,78,24,17,0.4663886977720699,40.06714852527679,9.0180814160474
116,82,21,9,0.4375706233537069,29.038652214958624,13.18106791775648
117,41,27,1,0.43280580654843914,30.267320535008228,6.6689602074603505
118,57,38,14,0.7943565870252731,17.199498646879107,7.188253275940594
119,57,22,13,0.45722587453376784,22.881961261611245,4.748558203672458
120,60,38,17,0.52173951940183,32.73939411557632,-3.1945057022241703
121,65,38,20,0.5448265881642786,15.009801597469261,3.0277244058033475
122,50,38,1,0.2845192260525965,38.69043725735974,-3.6641965779322403
123,44,36,5,0.29804145501388785,27.760218460564346,0.4344894748670384
124,75,38,7,0.28613747547615065,12.825989367663762,-1.3632617602646655
125,48,23,11,0.292053537908032,20.449993338700672,5.710555017153376
126,20,35,4,0.4897784008354845,25.693119344765325,1.3684035337198162
127,69,21,19,0.5972450824522153,32.59041504175741,7.645967620992138
128,88,37,19,0.3046721177500169,20.537254876031483,-0.7491995506279784
129,47,33,12,0.45616477883536666,34.59044334498909,9.499995572587673
130,95,21,3,0.6206937460206826,12.884959760254503,5.149669724596081
131,81,23,13,0.759325141467373,37.56593707070373,31.03411132354217
132,85,28,2,0.8699404943594707,10.238843958195524,12.063146320730612
133,20,34,6,0.8738041924748273,42.06367232314064,16.33011552663531
